"filename", "language", "Groovy", "Properties", "XML", "Batch", "Java", "comment", "blank", "total"
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Services\LoginRESTClient.java", "Java", 0, 0, 0, 0, 28, 0, 10, 38
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\Services\RESTClient.java", "Java", 0, 0, 0, 0, 51, 0, 14, 65
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\UserInterface\AuthenticationActivity.java", "Java", 0, 0, 0, 0, 27, 0, 8, 35
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\UserInterface\AuthenticationFragments\Login.java", "Java", 0, 0, 0, 0, 55, 0, 10, 65
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\UserInterface\AuthenticationFragments\SignUp.java", "Java", 0, 0, 0, 0, 54, 0, 14, 68
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\UserInterface\MainActivity.java", "Java", 0, 0, 0, 0, 58, 0, 16, 74
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\UserInterface\MainComponents\ExploreRecipes.java", "Java", 0, 0, 0, 0, 85, 0, 20, 105
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\UserInterface\MainComponents\FavouriteRecipes.java", "Java", 0, 0, 0, 0, 78, 0, 22, 100
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\UserInterface\MainComponents\Home.java", "Java", 0, 0, 0, 0, 78, 0, 21, 99
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\UserInterface\MainComponents\MyProfileActivity.java", "Java", 0, 0, 0, 0, 50, 0, 10, 60
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Android\fantastic_food\app\src\main\java\com\sander\fantasticfood\UserInterface\MainComponents\SingleRecipe.java", "Java", 0, 0, 0, 0, 126, 0, 20, 146
