"filename", "language", "Markdown", "HTML", "Dart", "YAML", "JSON", "C++", "XML", "Swift", "Groovy", "Properties", "comment", "blank", "total"
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\authentication\change_password_dialog.dart", "Dart", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 4, 50
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\authentication\login.dart", "Dart", 0, 0, 198, 0, 0, 0, 0, 0, 0, 0, 0, 9, 207
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\authentication\register.dart", "Dart", 0, 0, 228, 0, 0, 0, 0, 0, 0, 0, 0, 7, 235
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\main_components\explore_recipes.dart", "Dart", 0, 0, 198, 0, 0, 0, 0, 0, 0, 0, 1, 8, 207
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\main_components\favourite_recipes.dart", "Dart", 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 6, 124
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\main_components\home.dart", "Dart", 0, 0, 178, 0, 0, 0, 0, 0, 0, 0, 0, 11, 189
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\main_components\main_view_container.dart", "Dart", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 5, 61
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\main_components\my_profile.dart", "Dart", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 4, 79
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\main_components\recipe_card.dart", "Dart", 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 6, 103
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\main_components\single_recipe.dart", "Dart", 0, 0, 231, 0, 0, 0, 0, 0, 0, 0, 0, 8, 239
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\navigation\menu_bloc.dart", "Dart", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 5, 36
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\navigation\menu_drawer.dart", "Dart", 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 1, 5, 147
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\profile_components\change_image_dialog.dart", "Dart", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 7, 55
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\profile_components\delete_recipe_dialog.dart", "Dart", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 6, 46
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\profile_components\edit_recipe.dart", "Dart", 0, 0, 392, 0, 0, 0, 0, 0, 0, 0, 0, 40, 432
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\profile_components\my_allergies.dart", "Dart", 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 14, 154
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\profile_components\my_details.dart", "Dart", 0, 0, 186, 0, 0, 0, 0, 0, 0, 0, 0, 12, 198
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\profile_components\my_mealplans.dart", "Dart", 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 11, 151
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\profile_components\my_recipes.dart", "Dart", 0, 0, 219, 0, 0, 0, 0, 0, 0, 0, 0, 9, 228
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\profile_components\recipe_allergy.dart", "Dart", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 7, 69
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\profile_components\recipe_mealplan.dart", "Dart", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 8, 69
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\lib\user_interface\styles\textInput.dart", "Dart", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 10, 80
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\pubspec.yaml", "YAML", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 28, 15, 77
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\web\index.html", "HTML", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 15, 5, 46
"c:\Users\janay.sander\Documents\Dissertation_481\RESEARCH\fantasticfood\Flutter\fantastic_food\web\manifest.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"Total", "-", 13, 26, 3415, 34, 168, 1, 128, 12, 81, 8, 100, 348, 4334
